,FORMATTED_CONTENT,CLASS
71,plz check out fablife welcome to fablife for diys and challenges so plz subscribe thx,1
72,Sub my channel,1
73,http www ebay com itm ssPageName STRK MESELX IT amp trksid p m l,1
74,http www guardalo org best of funny cats gatti pazzi e divertenti,1
75,if your like drones plz subscribe to Kamal Tayara He takes videos with his drone that are absolutely beautiful,1
76,http hackfbaccountlive com ref,1
77,WHATS UP EVERYONE I Trying To Showcase My Talent To The World I Have Over SUBSCRIBERS I PROMISE I Dont Suck Please Spread My Covers Around SUBSCRIBE amp Share Thanks so much for all your support Lucas Trigo Stay Awesome,1
78,gt gt gt gt https www facebook com video php v amp set vb amp type amp permPage lt,1
79,Hi there I m group leader of Angel a rookie Korean pop group We have four members Chanicka Julie Stephanie and myself Leah Please feel free to check out our channel and leave some feedback on our cover videos criticism is welcome as we know we re not top notch singers so please come leave some constructive feedback on our videos we appreciate any chance to improve before auditioning for a Korean management company We plan on auditioning for JYP BigHit Jellyfish YG or SM Thank you for taking time out of your day to read this,1
80,http woobox com gxrf brt u FREE CS GO,1
81,Admit it you just came here to check the number of viewers,0
82,Just coming to check if people are still viewing this video And apparently they still do,0
83,Check my first video out,1
84,Check my channel,1
85,PSY GANGNAM STYLE M V http youtu be bZkp q f,0
86,Suscribe My Channel Please XD lol,1
87,Wow Comments section on this still active Not bad Also comments Now,0
88,http binbox io FIRo,1
89,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU,0
90,https www indiegogo com projects cleaning the pan please halp me with my project,1
91,There is one video on my channel about my brother,1
92,Check my channel please,1
93,Does anyone here use gift cards like Amazon itunes psn google play itunes or any other gift cards Then you ll be happy to know you can get free gift card codes for free from an amazing site Here is a itunes gift card code XXBB TCZHM HVZD,1
94,Why does this video have so many views Because asian things are awesome and non asian countries are jelly so they try to learn from asia by looking at this video d,0
95,Plizz withing my channel,1
96,I made a gaming channel Unique right L Angry Minecraft,1
97,Please help me go here http www gofundme com littlebrother,1
98,Anybody who subscribes to me will get subscribers,1
99,http thepiratebay se torrent Timothy Sykes Collection,1
100,My videos are half way decent check them out if you want,1
101,they said this video are not deserve billion views while they keep visiting it to watch the viewer,0
102,subscribe to itz recaps and above diddle,1
103,Screw this Chinese crap i dont even understand what he is saying Why isn t he speaking English like everyone should,0
104,need money Enjoy https www tsu co emerson zanol,1
105,Sub to my channel visuelgamingzNL I sub back,1
106,please subscribe i am a new youtuber and need help please subscribe and i will subscribe back D hoppa HOPPA GaNgAm StYlE,1
107,sub me if you dont like the song,1
108,This is a weird video,0
109,million likes xD even the subscribers not million xD,0
110,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL I AM A NEW YOUTUBER AND I PLAY MINECRAFT THANKS GUYS SUBSCRIBE,1
111,Hi everyone Do you like music Then why not check out my music channel The LEXIS band will be uploading their own songs and covers soon so don t miss out Please SUBSCRIBE too as it does help us out a lot Just takes one click gt,1
112,This song never gets old love it,0
113,gofundme com grwmps,1
114,Hey guys please check out my new Google page it has many funny pictures FunnyTortsPics https plus google com post,1
115,bitches,0
116,Made in china,0
117,milions comentars and bilion views,0
118,It is zero,0
119,Mix PSY GANGNAM STYLE M V PSY GANGNAM STYLE M V,0
120,This has had over billion views Holy shit,0
121,how can there be views when im the only person alive after the zombie apocalypse greetings spoderman,0
122,Suscribe my channel please,1
123,wiews wow,0
124,guys please subscribe me to help my channel grow please guys,1
125,Great music anyway,0
126,PSY GANGNAM STYLE M V http youtu be bZkp q f,0
127,so crazy over billion views not US not Uk its Korea republic its asia,0
128,Discover a beautiful song of A young Moroccan http www linkbucks com AcN g,1
129,Like getting Gift cards but hate spending the cash Try Juno Wallet At Juno Wallet you can earn money for gift cards such as Nike Gamestop Amazon Ebay Etc amp its easy Earn money by doing simple task like watching videos downloading apps amp you can even earn money by inviting your friends to join its free for signup Sign up today amp use promo code BD,1
130,Can somebody wake me up when we get to billion views,0
131,PSY GOT LOTS OF MONEY FROM YOUTUBE THAT HE GOT FROM BILLION VIEWS THIS IS THE MOST VIEWS IN THE WORLD D,0
132,Justin bieber gay,0
133,You gotta say its funny well not billion worth funny but still It clicked and everything went uphill At least you don t have JB s shit on,0
134,,0
135,Ahhh years ago,0
136,Dance dance Psy http www reverbnation com msmarilynmiles,1
137,check out starlitnightsky channel to see epic videos,1
138,https www tsu co KodysMan plz,1
139,Stupid people this video doesnt have billion visits Have thousands millions,0
140,http www gcmforex com partners aw aspx Task JoinT amp AffiliateID,1
141,check men out i put allot of effort into my music but unfortunatly not many watch it,1
142,pls http www vakinha com br VaquinhaE aspx e help me get vip gun cross fire al,1
143,Add me here https www facebook com TLouXmusic,1
144,CHECK MY CHANNEL OUT PLEASE I DO SINGING COVERS,1
145,I think this is now a place to promote channels in the comment section lol,0
146,Get free gift cards and pay pal money,1
147,Check out pivot animations in my channel,1
148,Follow me on twitter amp IG killuminati,1
149,Check me out I m all about gaming,1
150,Oppa Yeah Best Song,0
151,More http www sunfrogshirts com Sunglass World html,1
152,https www facebook com teeLaLaLa,1
153,http www twitch tv zxlightsoutxz,1
154,reminds me of this song https soundcloud com popaegis wrenn almond eyes,1
155,What free gift cards Go here http www swagbucks com p register rb,1
156,Search Chubbz Dinero Ready Or Not Thanks,1
157,Follow me on Twitter mscalifornia,1
158,every single types of face on earth,0
159,Y,0
160,CHECK MY CHANNEL FOR MY NEW SONG STATIC YOU LL LOVE IT,1
161,Incmedia org where the truth meets you,1
162,look at my channel i make minecraft pe lets play,1
163,I found out this song now,0
164,BILLION,0
165,Song name,0
166,please like http www bubblews com news peace and brotherhood,1
167,hey again if you guys wouldnt mind chacking out my rap give it like and il giver of your vids a like,1
168,http www amazon co uk gp offer listing B ECVF G sr qid ref olp tab refurbished ie UTF amp condition refurbished amp qid amp sr,1
169,The most watched video on YouTube is Psy s Gangnam Style with billion views PSY GANGNAM STYLE M V,0
170,Subscribe to me and I ll subscribe back,1
171,http flipagram com f LUkA QMrhF,1
172,For Christmas Song visit my channel,1
173,http www gofundme com gvr xg,1
174,Subscribe to me i subscribe back Plus i have a nice ass lol,1
175,https www change org p facebook twitter youtube do not censor julien blanc,1
176,https soundcloud com jackal and james wrap up the night,1
177,https www surveymonkey com s CVHMKLT,1
178,Please give us a chance and check out the new music video on our channel You won t be disappointed,1
179,Please subscribe to me,1
180,This is the best funny and viral video of history youtube THE TRUE,0
181,Please check out my vidios,1
182,OPPA GANGNAM STYLE,0
183,The funny thing is of the views are spam bots I mean c mon BILLION views BS,0
184,OPPA lt,0
185,It s so funny it s awesomeness lol aaaaaaa sexy lada,0
186,most viewed video in the world,0
187,I m here to check the views holy shit,0
188,Dear person reading this You are beautiful and loving Have a great day,0
189,http www ermail pl dolacz V VeYGIN CLICK http www ermail pl dolacz V VeYGIN http www ermail pl dolacz V VeYGIN http www ermail pl dolacz V VeYGIN http www ermail pl dolacz V VeYGIN http www ermail pl dolacz V VeYGIN http www ermail pl dolacz V VeYGIN,1
190,Have you tried a new social network TSU This new social network has a special thing You can share the posts as well as on fb and twitter and even to ll get paid You can registr here https www tsu co WORLDWIDE LIFE,1
191,The Guy in the yellow suit kinda looks like Jae suk,0
192,People here is a new network like FB you register also free the difference is only that you get paid for sharing commenting and liking posts and so one don t waste your time on fb for sharing and not being paid Register here to make also money with your everyday posts https www tsu co slema Wellcome to everyone,1
193,How are there billion views and theres only million people in the world MULTIPLE ACCOUNTS,0
194,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE,0
195,OMG People watched this video because there are billion people in the world and billion watched this,0
196,What is he saying,0
197,this has so many views,0
198,OMG over billion views,0
199,Subscribe to me plz plz plz plz plz plZ,1
200,http www twitch tv tareko Follow him on twitch and enter the keyword and you ll have a chance of winning a really nice and expensive gun for csgo that you can sell on the steam market,1
201,i am viewer D,0
202,https www tsu co Aseris get money here,1
203,Fantastic,0
204,The population of world is more than billion,0
205,views,0
206,Wow min ago,0
207,SUPER,0
208,P E A C E amp L O V E,0
209,How can this music video get billion views while im the only one watching here on earth lol,0
210,Please friend read my book and repass http www shared com web preview pdf CjFofTxeba,1
211,subscribe to me,1
212,Still the best D,0
213,The most liked video on YouTube,0
214,Still watching this years later,0
215,Hello I m kind of new to Youtube And soon i m soon going to be making Launchpad Video s D I would really appreciate if i got some subs before i started so that people can spot me easily I dont really care about hate comments so dont bother,1
216,Lol I dunno how this joke gets a lot of likes but whatever xD,0
217,Billion Views For This Piece Of Shit A R E Y O U K I D D I N G M E,0
218,GANGMAN STY D D D D D D DROP THE BASS,0
219,Will this song ever reach Billion Views,0
220,Im a RAPPER SONGWRITER check my video PLEASE also subscribe for more thanks tell me what you think,1
221,Hello all earth population of the world hope your having a great day,0
222,Is this the video that started the whole got my dick stuck in an elevator excuse thing,0
223,Can anyone sub to my channel D,1
224,prehistoric song has been,0
225,You think you re smart Headbutt your face,0
226,DISLIKE Now one knows REAL music ex Enimen,0
227,Loool nice song funny how no one understands me and we love it,0
228,Like if you came here too see how many views this song has,0
229,We pray for you Little Psy,0
230,Little Psy only months left Tumor in the head WE WILL MISS U lt,0
231,Follow me on Instagram chris cz,1
232,how is this shit still relevant,0
233,LOL this shit never gets old,0
234,What Can i say This Song He Just Change The World Completely So good job PSY and your girls are awesome,0
235,On u can see the camera man on his glasses,0
236,this comment is wrong,0
237,i hate this music fucking singer and every koean chainise ana US sucks me dick,0
238,Hahahahah,0
239,Can we reach billion views by December,0
240,Dumb Guy Why is there billion views when there are million people on earth Also I know what equals I am a smartie pants,0
241,People Who Say That This Song Is Too Old Now There s No Point Of Listening To It Suck Just Stfu And Enjoy The Music So Your Mom Is Old Too But You Still Listen To Her Right,0
242,The Funny Thing Is That this song was made in but it took years to get to america,0
243,why I dont see any comments but mine,0
244,this jap is such a piece of shit he is such a worthless fish head i dont know how any one likes this dumb untanlted gook this isnt even fucken music this is so fucking sad that this is even such thing people are so fucked up,0
245,I remember when everyone was obsessed with Gangnam Style,0
246,Remove This video its wank,0
247,It s so hard sad iThat little child Actor HWANG MINOO dancing very active child is suffering from brain tumor only month left for him Hard to believe Keep praying everyone for our future superstar StrongLittlePsY Fighting SHARE EVERYONE PRAYING FOR HIM http ygunited com little psy from the has brain tumor months left to live,1
248,Why the fuck this keeps updated Comments minutes ago Song years and months ago,0
249,MANY MEMORIES,0
250,why are they million comments when there is only youtube Users million fake account or PSY hacked youtube,0
251,out of people in the would saw this video just in years and yeat i only get words out of the hole song,0
252,This video is so cool again and again,0
253,I am now going to voyage to the first comment Tell my family I loved them,0
254,How did THIS Video in all of YouTube get this many views and likes Why Gangnam style I don t have a problem with it i just don t understand the phenomena behind it it s just like any other random music video out there,0
255,With the korean girl more slut and bitch Hyuna,0
256,Hey guys Check this out Kollektivet Don t be slappin my penis I think that they deserve much more credit than they receive,1
257,Still a very fun music video to watch,0
258,C mon billion views,0
259,Hey everyone I am a new channel and will post videos of book reviews and music on the flute Please subscribe if you would enjoy that Thanks,1
260,Hey I think I know what where dealing with here I have some theories of how this could ve gotten billion hits This was mabey made in korea and its realy popular there so they were stuck watching this over and over again Over billion people have access to the Internet including youtube and the numbers are rising by half of the populatoin will be connected Hackers In Korea may have loved it so much they rised it to billion hits to make it more popular The song was featured in a just dance game on multiple mp s and been seen on concerts and even on new years eve event in so just by seeing those you mabey adding more hits to this video You are complaining to much on how the heck this has b hits,0
261,subscribe my chanel,1
262,THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON BILLION views omg,0
263,LoL,0
264,If you pause at at the last millisecond you can see that that chick is about to laugh Takes a few tries,0
265,year olds be like How does this have billion views when there are only people in the world,0
266,PSY is a good guy,0
267,WHY DOES THIS HAVE BILLION VIEWS THIS SONG IS SO ANNOYING,0
268,https www facebook com pages Mathster WP ref hl,1
269,millioon dislikesssssssssssssssssssssssssssssssss,0
270,The little PSY is suffering Brain Tumor and only has more months to live Please pray to him and the best lucks,0
271,For all of the little kidz out there there is Like to Billon people on earth NOT to MILLON Get you facts straight before posting comments,0
272,How stupid humanity is,0
273,Come and watch my video it is called the odowd crowd zombie movie part,1
274,You know a song sucks dick when you need to use google translate to know what the fuck its saying,0
275,We get it you came here for the views,0
276,Wow this video is the most viewed youtube video second that comes Justin bieber baby SMH WHAT HAS THE WORLD COME TO,0
277,Hey join me on ts a publishing platform where I share my content now http tsu co MarkusMairhofer,1
278,This song is great there are views wow,0
279,I m watching this in,0
280,Most viewed video on youtube daaaaaaaaaaannng those views can almost dominate the entire china,0
281,how does this video have views if there are only million people on earth,0
282,What my gangnam style,0
283,Lol this youtuber officialpsy is getting so much money lol,0
284,million dislikes EPIC FAIL ready for you fanboys,0
285,If I knew Korean this would be even funnier At least a bit at the end was in English but was spoken quite rapidly,0
286,Enough with the whole how does this have two billion views if there s only million on the planet we get it You re joking It s not funny anymore,0
287,If I get subscribers I will summon Freddy Mercury s ghost to whipe from the face of earth One Direction and Miley Cirus,1
288,if i reach subscribers i will go round in public pouring a bucket of ice water over people and then running away acting like it wasn t me like so people can see,1
289,YOUTUBE MONEY,0
290,billion for this shit,0
291,billion views only million shares,0
292,Hi guys my name is Dylan and I do IRL football videos I have subscribers and I think you guys would like my content so come check it out and if you do subscribe,1
293,If I get subscribers by tomorrow I ll do a epic Hunger Games Video,1
294,follower please https www facebook com lists,1
295,billion views wow not even baby by justin beibs has that much he doesn t deserve a capitalized name,0
296,If i reach subscribers i will tazz my self and my friend,1
297,Please help me go to college guys Thanks from the bottom of my heart https www indiegogo com projects i want to go to college x,1
298,https www facebook com SchoolGeniusNITS photos ms c eJw kVkOxDAMQm h z sNjqP tHqBEuM AQUp Ih fPHgk zLLsVdQv ZUf MB LnUJ ufTH YoKfRxYts zvrrp qGtw y L h f vlcZzRG vGCTlPSD ONGeWhj GIbu S lzMvY IQ TwSfzz WHn JUSvHufpglQRZczl fNPhaGeVb x yDmC X jTcjnMho vfXWCjZyvWObihrnGx ocjnG PG EvHXzyjD o h RY f sPrnD xV BzszZ bps a type amp theater,1
299,I am so awesome and smart Sucscribe to me,1
300,Follow Follow VaahidMustafic Like Like,1
301,http hackfbaccountlive com ref psy news off cal,1
302,https www facebook com nicushorbboy add mee lt lt,1
303,im sorry for the spam but My name is Jenny I go to high school where everyone dresses fashionable but for me I don t because i need money to buy cute clothes I have low self esteem I live with my dad my mom passed away when i was so i don t really have a mother figure I have brothers who is older than me Since they are boys they get the attention while i just be alone I really want to wear pretty clothes like the girls in my school and get a boyfriend i just can t be my self im very quite and shy at school because i don t have the confidence in myself to talk to someone i did have one friend name Caroline but she moved away so now im alone if you could donate some money to me it would be great i don t care about expensive brand ill just shop at walmart because they have pretty clothes also i wanna get my nails done at a salon i see alot of girls have these french tips i never had my nail did at a salon before i will really appreciate if i can and get my hair curled too http www gofundme com dressprettyonce thanks omg please,1
304,I hate this song,0
305,please throw a sub on my channel,1
306,NEW GOAL Let s go for it,0
307,Go to my channel if u want to see a fly getting burned alive,1
308,just came here to check the views P,0
309,COME AND CHECK OUT MY NEW YOUTUBE CHHANEL GOING TO BE POSTING DAILY,1
310,I hav absolutely no idea what he s saying Is it even a language,0
311,Please check out my vidios guys,1
312,I still to this day wonder why this video is so popular illuminati confirmed,0
313,Hey guys can you check my channel out plz I do mine craft videos Let s shoot for subs,1
314,This is getting old,0
315,PLEASE SUBSCRIBE ME,1
316,just came to check the view count,0
317,Check out my Music Videos Fuego U LA LA Remix hyperurl co k a xt,1
318,Check out my Music Videos and PLEASE SUBSCRIBE Fuego U LA LA Remix hyperurl co k a xt,1
319,www marketglory com strategygame lordviperas,1
320,If the shitty Chinese Government didn t block YouTube over there there d be close to billion views right now,0
321,WORLD RECORD YOUTUBE VIDEO VIEWS XD,0
322,I think he was drunk during this x,0
323,Limit sun exposure while driving Eliminate the hassle of having to swing the car visor between the windshield and window https www kickstarter com projects visortwin,1
324,Hahah juyk I allways laugh at the part LOL,0
325,http hackfbaccountlive com ref,1
326,I wanted to know the name of the guy that dances at anybody knows,0
327,https www facebook com FUDAIRYQUEEN pnref story,1
328,Haha its so funny to see the salt of westerners that top views of youtube goes to video they dont even understand keep the salt up,0
329,FOLLOW MY COMPANY ON TWITTER thanks https twitter com TheWaxedHatCo,1
330,imagine if this guy put adsense on with all these views u could pay ur morgage,0
331,Hey come check us out were new on youtube let us know what you think and don t forget to subscribe thanks,1
332,The girl in the train who was dancing her outfit was so fucking sexy but the huge turn off was she lacked eyebrows D,0
333,Look at the pictures if not difficult http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru http image you ru,1
334,Don t mind me I m just checking what the views are up to,0
335,Hey guys can you check my YouTube channel I know you hate comments like this one but I promise if you check my videos it will be entertaining I do Shotgun Montages Ninja Defuse Montages and Trolling please guys can you check them out and thanks have a good day,1
336,To everyone joking about how he hacked to get billion views because there s a certain amount of people or whatever He actually did buy views,0
337,https www facebook com tofikmiedzynB photos a type amp theater,1
338,https www facebook com eeccon posts comment id amp offset amp total comments please like frigea marius gabriel comment D,1
339,http www bing com explore rewards PUBL REFERAFRIEND amp CREA RAW amp rrid f fa aa a c f c ede ea ca Bing rewards earn free money AND NO U CANT GET UR VIRUS IN BLUE,1
340,Please do buy these new Christmas shirts You can buy at any time before December th and they are sold worldwide Don t miss out http teespring com treechristmas,1
341,Free my apps get m crdits Just click on the link and download a app and done Link https m freemyapps com share url af e,1
342,Why does a song like this have more views than Michael Jackson SMH,0
343,Something to dance to even if your sad JUST dance PSY GANGNAM STYLE M V http youtu be bZkp q f,0
344,everyones back lool this is almost years old and people are still hear xD,0
345,How can this have billion views when there s only me on the planet LOL,0
346,I don t now why I m watching this in,0
347,subscribe to me for call of duty vids and give aways Goal subs,1
348,hi guys please my android photo editor download thanks https play google com store apps details id com butalabs photo editor,1
349,The first billion viewed this because they thought it was really cool the other billion and a half came to see how stupid the first billion were,0
350,i love this so much AND also I Generate Free Leads on Auto Pilot amp You Can Too http www MyLeaderGate com moretraffic,1
351,http www billboard com articles columns pop shop fan army face off round Vote for SONES please we re against vips please help us gt lt,1
352,Hey guys Please join me in my fight to help abused mistreated animals All fund will go to helping pay for vet bills and or helping them find homes I will place an extra emphasis on helping disabled animals ones otherwise would just be put to sleep by other animal organizations Donate please http www gofundme com Angels n Wingz,1
353,http psnboss com ref tGgp pV L this is the song,1
354,Hey everyone Watch this trailer http believemefilm com hlr h hQBUVB,1
355,check out my rapping hope you guys like it https soundcloud com nereboy call of the lostproduce by atlastatlas rapper jkork and follow and message me,1
356,Subscribe pleaaaase to my instagram account i ll subscribe back http instagram com cyrine ghorbel,1
357,hey guys visit my channel pleaase i m searching a dream,1
358,Nice http www barnesandnoble com s BDP csrfToken I tIxe cNkCosOqkEMGjLU uwv nSXSO amp sort DD amp size amp csrftoken Iyec nrWP NYtnO U amhVmfLUtgGL amp dref amp keyword BDP amp store EBOOK,1
359,http www twitch tv daconnormc,1
360,Hey Guys this is Glamour Beauty I just started my youtube channel please go check it out I m going to post singing videos and also random videos that I fell like Please go to subscribe More to come soon Remember to subscribe,1
361,Hey guys My mom said if i got subs before christmas I ll get a kitten and I always have wanted an kitten so please watch my videos and if you like it subscribe or like Please no mean comments,1
362,https www facebook com photo php fbid amp l d a c,1
363,https www facebook com photo php v amp set vb amp type amp theater,1
364,https soundcloud com artady please check my stuff and make some feedback,1
365,Take a break from Katie and help me reach subscribers this month New music and free downloads,1
366,Subscribe me please,1
367,Check out my covers I have a video coming out please subscribe,1
368,Subscribe to My CHANNEL,1
369,Hey guys I am a very small YouTuber I upload videos nearly every single day I once hope to be like shikas so can you please give mins of your life to view this channel and my new video is on how to watch all the anime for free and I am pretty sure you wont regret visiting this channel Thank you,1
370,http www rtbf be tv emission detail the voice belgique toutes les auditions auditionDetail emissionId amp id Please join me to the voice Liked and shared it please to win more audition score Thanks so much,1
371,katy perry will u sit on my face please it would be really awesome and i ll give you dollars ok if you want to do this then please call me and subscribe to my channel first ok thats good and then u sit on my face and ill get an erection then you sit more k,1
372,iS IN TOP IN YOUTUBE TOP VIEWS ON IS MILEY CYRUS http www google ro url sa t amp rct j amp q amp esrc s amp source web amp cd amp ved CB QFjAA amp url http A F Fen wikipedia org Fwiki FList of most viewed YouTube videos amp ei OQ yU DWC L yQOYo GoAw amp usg AFQjCNGKM Idplal kuVKoEkVgdTT jVLQ amp sig OnqZzad q CmNBe nml gA amp bvm bv d bGQ amp cad rja,1
373,http www amazon com Knight Dawn cursed Daniel N ebook dp B MPPQHRI ref sr s digital text amp Bie UTF amp Bqid amp Bsr amp Bkeywords knight amp tag wattpad some people are very talented but some are more talented but there is no sponsor,1
374,I really love this video http www bubblews com account sheilcen,1
375,Hi Guys check this awesome EDM amp House mix thanks a lot https soundcloud com soundhase edm house mix,1
376,Hiya I just started YouTube and it would mean a lot if some of you could subscribe and watch my first video xx,1
377,Watch Maroon s latest nd single from V It Was Always You www youtube com watch v TQ FuAu,1
378,Help Please http www gofundme com RJanimalcare,1
379,http www mediafire com download yvovhafsv qzzqo Video rar download and make money today,1
380,http www ebay com itm ssPageName STRK MESELX IT amp trksid p m l,1
381,lt script gt document write lt a target self href http rover ebay com rover icep ff amp pub amp toolid amp campid amp customid bogdan grigore amp ipn psmain amp icep vectorid amp kwid amp mtid amp kw lg gt check this out new arive on ebay lt a gt lt img style text decoration none border padding margin src http rover ebay com roverimp ff amp pub amp toolid amp campid amp customid bogdan grigore amp mpt Math floor Math random gt lt script gt lt noscript gt lt a target self href http rover ebay com rover icep ff amp pub amp toolid amp campid amp customid bogdan grigore amp ipn psmain amp icep vectorid amp kwid amp mtid amp kw lg gt check this out new arive on ebay lt a gt lt img style text decoration none border padding margin src http rover ebay com roverimp ff amp pub amp toolid amp campid amp customid bogdan grigore amp mpt CACHEBUSTER gt lt noscript gt,1
382,I votekatyperry for the MTV VMA Best Lyric Video See who s in the lead and vote http on mtv com Ut kX,1
383,https www facebook com pages D AA D AD D D A D D A D AC D D D A D D A D D D B D A D D music,1
384,Hello I m Marian I m a singer from Venezuela I was part of a boy girl band named cubik and I m now singing on my own cause I wanted to play my own pop and pop rock songs It would mean a lot if you could have a look at my channel to check my music and watch my new video and if u like subscribe to it XOXO THANKS PS if you like a lot my channel you can share it with your friends Haha LOL MARIAN,1
385,katy perry does remind me of a tiger like as if its her spirit animal lt,0
386,In what South American jungle or any jungle for that matter do you find an African elephant and a bengal tiger in the same place Who made this video,0
387,http gag com gag aAVpwj,1
388,ima rapper trying to get notice please check out my mixtape datpiff com mixtapes detail php id,1
389,Its a good song and i like her video clip because its a bout a girl that her airplane crashed on a land far far away and she found the way to survive And i love the pet tiget too Kitty Purpy lol D,0
390,help me click on the subscribe Mai Nguyen thank you,1
391,even without make up she is still hot http uk eonline com eol images Entire Site reg katy mkup mh jpg,1
392,Thanks to this video we know that Nokia phones can survive a plane crash,0
393,http www bubblews com news vps solutions,1
394,The TREU DETECTIVE alternate ending http www funnyordie com videos d fb true defectives,1
395,The new Makeup Transformation with Integrated Look A Like Feature now available in Ver Do you know who you look like Install or update your version of Makeup Transformation https play google com store apps details id com yourelink makeuptransformation or visit Google Play,1
396,She named the tiger Kitty Purry No seriously she did check the video,0
